sequence_id,district,forecast_origin,wsi_at_origin,residual_t1,residual_t2,residual_t3,split
610,Dharashiv,2013-07-01,-0.3373016093112739,-0.1475265648029534,-0.08838752171022574,0.036944267544916476,train
611,Dharashiv,2013-08-01,-0.4848281666177278,0.059139035596228184,0.1844708248513704,0.16982617224631363,train
612,Dharashiv,2013-09-01,-0.4256891322783764,0.12533179051201898,0.11068713790696222,0.11566698676865655,train
613,Dharashiv,2013-10-01,-0.3003573406651616,-0.014644653706252564,-0.009664804844558228,0.12229147443324329,train
614,Dharashiv,2013-11-01,-0.3150020014188168,0.004979855909096942,0.13693613518689846,-0.012364499674093976,train
615,Dharashiv,2013-12-01,-0.3100221484461928,0.13195628221427447,-0.017344352646717964,-0.5565299064358568,train
616,Dharashiv,2014-01-01,-0.1780658657834236,-0.14930063530948717,-0.688486189098626,-0.47969678089168627,train
617,Dharashiv,2014-02-01,-0.3273664938366254,-0.5391855610454241,-0.33039615283848445,-0.021749265297667186,train
618,Dharashiv,2014-03-01,-0.8665520329868756,0.2087893863117657,0.517436273852583,0.9665096704757176,train
619,Dharashiv,2014-04-01,-0.6577626594450005,0.30864690031070785,0.7577202969338425,0.8887114801551826,train
620,Dharashiv,2014-05-01,-0.3491157624800922,0.4490733999689342,0.5800645831902744,0.35699500478107943,train
621,Dharashiv,2014-06-01,0.0999576386160373,0.1309911820941449,-0.09207839631505006,0.10798183715872771,train
622,Dharashiv,2014-07-01,0.2309488272828868,-0.22306958498189955,-0.023009351508121778,0.35419003008176775,train
623,Dharashiv,2014-08-01,0.0078792421133425,0.2000602336614225,0.5772596152513121,0.41659371573616005,train
624,Dharashiv,2014-09-01,0.207939476400077,0.3771993809645775,0.21653348144942555,-0.12254710558003154,train
625,Dharashiv,2014-10-01,0.5851388750301937,-0.16066591718069112,-0.4997465042101482,-0.8071633306967357,train
626,Dharashiv,2014-11-01,0.4244729446428991,-0.3390805738228536,-0.6464974003094411,-0.44759748486757045,train
627,Dharashiv,2014-12-01,0.0853923671294839,-0.30741682279602595,-0.10851690735415527,0.01954725008710316,train
628,Dharashiv,2015-01-01,-0.2220244559712116,0.19889991574654023,0.32696407318779863,0.22124200577580969,train
629,Dharashiv,2015-02-01,-0.0231245395231773,0.12806415673976437,0.022342089327775393,-0.04608596745247349,train
630,Dharashiv,2015-03-01,0.10493961602621,-0.10572206622161191,-0.17415012300186078,0.019161016939354722,train
631,Dharashiv,2015-04-01,-0.0007824501796296,-0.06842805679602118,0.12488308314519433,1.5963471731944612,train
632,Dharashiv,2015-05-01,-0.0692105058697718,0.19331113883533652,1.6647752288846034,1.9649339679745692,train
633,Dharashiv,2015-06-01,0.1241006330043015,1.47146409001053,1.7716228291004958,1.2662196680516067,train
634,Dharashiv,2015-07-01,1.59556468422899,0.30015877787580747,-0.2052443831730817,-0.34103198941240054,train
635,Dharashiv,2015-08-01,1.89572340721318,-0.5054031061572717,-0.6411907123965905,-0.7884126352710412,train
636,Dharashiv,2015-09-01,1.3903203395221422,-0.13578764470555282,-0.2830095675800035,-0.12993399175145126,train
637,Dharashiv,2015-10-01,1.2545326843002809,-0.1472219123581422,0.005853663470410053,0.025415907885693256,train
638,Dharashiv,2015-11-01,1.1073107889566334,0.15307555881405754,0.17263780322934075,-0.15570886644457893,train
639,Dharashiv,2015-12-01,1.2603863461205618,0.019562246065412348,-0.30878442360850733,-0.7442311628052847,train
640,Dharashiv,2016-01-01,1.279948583623665,-0.3283466611116106,-0.7637934003083879,-0.7616408977716143,train
641,Dharashiv,2016-02-01,0.9516019520827648,-0.43544676876748767,-0.433294266230714,-0.6417041418620464,train
642,Dharashiv,2016-03-01,0.5161551873394072,0.0021524985126435414,-0.20625737711868886,-0.3248427997537673,train
643,Dharashiv,2016-04-01,0.5183077110295705,-0.20840990080885213,-0.32699532344393056,-0.7817581845765523,train
644,Dharashiv,2016-05-01,0.3098978029428136,-0.11858541535717365,-0.5733482764897955,-0.5331819282708776,train
645,Dharashiv,2016-06-01,0.1913123941318434,-0.45476286767882523,-0.4145965194599074,-0.7808225369350356,train
646,Dharashiv,2016-07-01,-0.2634504717790134,0.04016634645094941,-0.32605967102417877,-0.19668170986542632,train
647,Dharashiv,2016-08-01,-0.2232841277734341,-0.36622601502975805,-0.2368480538710056,-0.22068863862594945,train
648,Dharashiv,2016-09-01,-0.5895101689430625,0.12937798729862282,0.14553740254367897,0.14065074554409096,train
649,Dharashiv,2016-10-01,-0.460132191189855,0.016159424790471444,0.011272767790883431,-0.2536408209713999,train
650,Dharashiv,2016-11-01,-0.4439727669232629,-0.004886656475708684,-0.269800245237992,-0.30068612046305915,train
651,Dharashiv,2016-12-01,-0.4488594182561442,-0.26491359390511066,-0.2957994691301778,0.20708217702613324,train
652,Dharashiv,2017-01-01,-0.7137730270232469,-0.030885860363075168,0.47199578579323587,0.966728165706566,train
653,Dharashiv,2017-02-01,-0.7446589049156831,0.5028816636856721,0.9976140435990022,0.9070904728230165,train
654,Dharashiv,2017-03-01,-0.2417772445707677,0.4947323832540868,0.4042088124781011,-0.3656799163789393,train
655,Dharashiv,2017-04-01,0.2529551472224937,-0.09052357931516031,-0.8604123081722007,-1.5327246870555626,train
656,Dharashiv,2017-05-01,0.1624315632846291,-0.7698887242343362,-1.442201103117698,-0.8827402843501504,train
657,Dharashiv,2017-06-01,-0.6074571447304578,-0.6723123951026111,-0.11285157633506349,0.05462936925209472,train
658,Dharashiv,2017-07-01,-1.2797695168822236,0.5594607958167024,0.7269417414038606,0.14053032487325146,train
659,Dharashiv,2017-08-01,-0.7203087011345367,0.16748092565617367,-0.41893049087443546,-0.0934407910338898,train
660,Dharashiv,2017-09-01,-0.5528277879715373,-0.5864114040374349,-0.2609217041968892,-0.36746083440776567,train
661,Dharashiv,2018-01-01,-0.8067508150940755,-0.43439574938956704,-0.1909977982634684,-0.01766105395499673,val
662,Dharashiv,2018-02-01,-1.241146529877867,0.24339791652032305,0.41673466082879473,0.8986019742138045,val
663,Dharashiv,2018-03-01,-0.997748608071764,0.17333673902269175,0.6552040524077015,0.0688437170576649,val
664,Dharashiv,2018-04-01,-0.824411853329092,0.48186729766502945,-0.10449303768500717,0.06746385909691421,val
665,Dharashiv,2018-05-01,-0.3425445610312695,-0.5863603299828296,-0.4144034332009082,-0.19556003272254519,val
