stream,district,date,value,clim_median,robust_z,temporal_diff,lower_iqr,upper_iqr,classification
CHIRPS,Chhatrapati Sambhajinagar,2012-04,5.9312,0.2832,13.45,2.7941,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2013-06,364.6051,156.3416,2.64,246.0403,-58.2972,341.2235,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2013-12,7.6197,3.6045,4.66,5.3505,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2014-01,4.4068,1.9777,5.7,0.1328,-0.2415,4.9808,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2014-03,15.1584,0.1758,59.65,12.9938,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2014-04,2.8697,0.2832,6.16,7.1703,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2014-11,67.1927,8.5443,11.25,57.0031,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2014-12,10.365,3.6045,7.84,24.7567,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2015-03,24.3784,0.1758,96.36,22.792,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2015-04,2.1624,0.2832,4.47,14.3682,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2015-11,30.8604,8.5443,4.28,6.1567,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2016-02,3.5558,0.9223,12.11,0.8456,-0.131,2.3169,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2016-03,3.579,0.1758,13.55,1.8011,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2017-12,17.819,3.6045,16.48,14.3226,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2018-02,10.46,0.9223,43.84,9.5287,-0.131,2.3169,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2018-12,12.7644,3.6045,10.62,1.389,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2019-04,4.4278,0.2832,9.87,3.6511,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2020-03,6.2658,0.1758,24.25,5.7386,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2021-04,9.552,0.2832,22.07,22.6735,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2021-05,64.3989,6.5935,8.69,22.647,-18.4345,38.1964,Statistical Outlier / Seasonal Extreme
