district,date,year,month,split,spi_stress_z,soil_stress_z,ndvi_stress_z,lst_stress_z,groundwater_stress_z,surface_water_stress_z,groundwater_stale_flag,months_since_last_gw_obs,ndvi_imputed,lst_imputed,wsi,wsi_category
Beed,2008-12-01,2008,12,train,0.7230277899228061,-0.19848901675622674,0.10141464151222342,0.5377970071168043,-0.4610744195350095,-1.2862945364262128,0,2,0,0,-0.0972697556942692,Normal
Beed,2009-01-01,2009,1,train,-0.5851010905317365,-0.14367457903501898,-0.2104856363350027,0.6897764822834402,-1.1121054168256754,-1.0287212366952156,0,0,0,0,-0.3983852461898682,Normal
Beed,2009-02-01,2009,2,train,-0.2679175800450789,-0.10269604162628804,0.03802822936708612,0.6337384922134996,-1.1121054168256754,-0.6917539950238254,0,1,0,0,-0.25045105199004697,Normal
Beed,2009-03-01,2009,3,train,-0.33911349336171265,-0.00620218615598141,-0.023383231835742143,-0.044927876500115725,-0.15514387827705023,-0.6885549139968513,0,0,0,0,-0.20955426335457558,Normal
Beed,2009-04-01,2009,4,train,0.16735571212659434,-0.04620691949447935,0.08642384502282693,0.14310341785596095,-0.15514387827705023,-0.7016821775213339,0,1,0,0,-0.08435833338124687,Normal
Beed,2009-05-01,2009,5,train,-0.4558834029807818,-0.08107093131772174,0.11090262406708938,-0.4280048437790415,-0.2467654605375282,-0.0047749830107059,0,0,0,0,-0.18426616625978165,Normal
Beed,2009-06-01,2009,6,train,0.6796789551631236,0.31242091696882995,0.8052993265509224,0.8747289457348133,-0.2467654605375282,0.24950074181933246,0,1,0,0,0.4458105709499156,Normal
Beed,2009-07-01,2009,7,train,0.8856302487710476,-1.3975201848947016,1.206989419708257,-1.8824121201231552,-0.2467654605375282,0.11321673826623176,0,2,0,0,-0.2201435598016415,Normal
Beed,2009-08-01,2009,8,train,1.0295537752765989,-0.6938065835640603,-1.5195005642021056,0.3316313013922019,-0.2467654605375282,0.3821877490945664,0,3,0,0,-0.11944996375672116,Normal
Beed,2009-09-01,2009,9,train,0.019926291015976646,-1.1391118846239563,-0.15104708338693285,-1.0634741620761887,-0.9860413232977457,0.2943942495808829,0,0,0,0,-0.5042256521313274,Wet
Beed,2009-10-01,2009,10,train,-0.27096866294689775,-1.1753506634314912,-0.23032358074746836,0.08812496324011866,-0.42730725162574273,-0.0853390321740203,0,0,0,0,-0.3501940379475836,Normal
Beed,2009-11-01,2009,11,train,-0.9513707746551069,-1.3233468921381115,-0.5820493165525698,-1.0425524399788213,-0.42730725162574273,-0.5924248929892284,0,1,0,0,-0.81984192798993,Wet
Beed,2009-12-01,2009,12,train,-0.9040850888415457,-1.1840030805911594,-1.294075772817111,-1.3384972318155108,-0.42730725162574273,-0.4720653789817338,0,2,0,0,-0.9366723007788006,Wet
Beed,2010-01-01,2010,1,train,-1.7379352841438385,-1.1671861685826617,-1.8085281773500423,-1.3219169838670402,0.0022111241801326892,-0.5606783475269569,0,0,0,0,-1.0990056395484011,Wet
Beed,2010-02-01,2010,2,train,0.8582299383539213,-0.9646011090463746,-0.9293989923621986,-1.077124002572926,0.0022111241801326892,-0.3993453819424433,0,1,0,0,-0.41833807056498146,Normal
Beed,2010-03-01,2010,3,train,-0.2683480029254409,-0.7327504788576947,-0.19185447419915416,-0.22131703488521304,-0.42528122155118575,-0.5157572614806902,0,0,0,0,-0.39255141231656315,Normal
Beed,2010-04-01,2010,4,train,-0.9204274088226533,-0.644840880975785,-0.23778625820042631,0.0236643477379494,-0.42528122155118575,0.23629468319566307,0,1,0,0,-0.3280627897694062,Normal
Beed,2010-05-01,2010,5,train,-0.43190736881022695,-0.584630983494065,-0.0960579758598781,-0.10642879257138634,-0.8883416508136001,0.3884519594798999,0,0,0,0,-0.2864858020115428,Normal
Beed,2010-06-01,2010,6,train,-0.4345891451341784,-0.5959204646581359,-1.5935997912520048,-0.6017834431042922,-0.8883416508136001,0.4033875705307145,0,1,0,0,-0.6184744874052495,Wet
Beed,2010-07-01,2010,7,train,-0.9110381263706606,-1.6399887928252368,-2.420837651719166,-3.3688423065352495,-0.8883416508136001,0.06304395885917871,0,2,0,0,-1.5276674282341223,Very Wet
Beed,2010-08-01,2010,8,train,-1.5110231111205508,-1.6882123919324807,-0.4478663953985088,-1.6300698196671268,-0.8883416508136001,-0.42441798250361207,0,3,0,0,-1.0983218919059798,Wet
Beed,2010-09-01,2010,9,train,-1.0396721496794508,-2.0150377937020636,-0.9504231910052076,-1.353005348796838,-1.6276175135738165,-0.9222217806346404,0,0,0,0,-1.3179962962320027,Wet
Beed,2010-10-01,2010,10,train,-0.8020510549893557,-1.803415528722002,-0.2832836615361724,-1.6496150399978013,-1.3727879530852158,-1.1631377963975953,0,0,0,0,-1.1790485057880238,Wet
Beed,2010-11-01,2010,11,train,-0.46528399123183106,-2.3153475243029176,-1.8528996850994341,-1.408357801922511,-1.3727879530852158,-1.1719825462812885,0,1,0,0,-1.4311099169871995,Wet
Beed,2010-12-01,2010,12,train,-0.8864396891343018,-1.991455567643896,-0.84753547147999,-1.3547671724293326,-1.3727879530852158,-1.1743660980316823,0,2,0,0,-1.2712253253007364,Wet
Beed,2011-01-01,2011,1,train,-1.1826831107418478,-1.6715435614562115,-1.0831255254636902,-0.5151788199427791,-0.4029948907310699,-1.431049013141871,0,0,0,0,-1.0477624869129116,Wet
Beed,2011-02-01,2011,2,train,0.0878104248053802,-1.4133428858252532,-1.006409685429601,-1.5114180638875039,-0.4029948907310699,-1.0839172036754126,0,1,0,0,-0.8883787174572433,Wet
Beed,2011-03-01,2011,3,train,1.0865303408870712,-1.1564715659536304,-0.88741133787697,-0.476536895757257,-0.49281555736971927,-0.41151134525685046,0,0,0,0,-0.3897027268878927,Normal
Beed,2011-04-01,2011,4,train,-0.6453252615600662,-1.0207158968154113,-0.7563343749152508,-1.6953740028411208,-0.49281555736971927,-0.032948170724865576,0,1,0,0,-0.7739188773710723,Wet
Beed,2011-05-01,2011,5,train,0.4125972570529594,-0.9172540088254566,-0.7170817974512174,-1.3303379514615952,-0.6857386433579982,0.7169093304391406,0,0,0,0,-0.42015096893402787,Normal
Beed,2011-06-01,2011,6,train,2.0579616010088277,-0.7315743891114975,-0.505912731314777,-0.791415670882112,-0.6857386433579982,0.5955097211223824,0,1,0,0,-0.010195018755862392,Normal
Beed,2011-07-01,2011,7,train,0.03770643063790292,-0.36986573082382945,0.06420746042863536,-1.9398878892839437,-0.6857386433579982,-0.6966983874977837,0,2,0,0,-0.5983794599828361,Wet
Beed,2011-08-01,2011,8,train,-0.10160834149639443,-0.40708725791334177,-2.145665108278063,-0.3139052377221141,-0.6857386433579982,-0.9493115357349856,0,3,0,0,-0.7672193540838163,Wet
Beed,2011-09-01,2011,9,train,-0.25443037324972806,-0.693710128222163,-0.16198812000947985,-0.2160586377476061,-1.2561786665718806,-0.9235809960956088,0,0,0,0,-0.5843244869827444,Wet
Beed,2011-10-01,2011,10,train,0.7998345651026744,0.303851574286959,-0.2835912521510086,-0.2399726618631998,-0.7649789307184117,-0.7897081225776166,0,0,0,0,-0.16242747132010057,Normal
